Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
72,11461074,"Rafi Widyansyah","2024-01-28 10:29:01",0.89617,26,rafiwidyansyah
73,11490563,"Christophe Nicault","2024-01-26 21:02:10",0.89616,23,cnicault
74,11460787,shadechen,"2024-01-26 02:27:15",0.89616,12,shadechen
75,11473758,nickyxuc,"2024-01-27 10:05:08",0.89613,8,nickyxuc
76,11460815,stechpalme,"2024-01-27 14:34:53",0.89613,31,stechparme
77,11461100,prklee,"2024-01-28 09:55:06",0.89611,70,prklee
78,11531722,bohorn,"2024-01-23 13:29:19",0.89610,6,bohorn
79,11539454,"Los Pollos Hermanos","2024-01-26 19:56:32",0.89609,14,"ernestterjyan,spartakaghababyan"
80,11548126,"Sharvari Bote","2024-01-23 09:43:16",0.89609,1,sharvaribote
81,11521164,"Mithun Das","2024-01-23 15:21:01",0.89609,8,mithunjack
82,11526422,"Umer Farooq","2024-01-23 12:50:17",0.89609,1,umerfarooq807
83,11462519,"Ilan Bacry","2024-01-25 23:52:10",0.89609,39,ilanbacry
84,11549296,notaroboto,"2024-01-23 16:09:48",0.89609,3,notaroboto
85,11526722,"Joao Pinto","2024-01-23 16:14:10",0.89609,1,jpcpinto
86,11463948,Serge,"2024-01-23 16:39:45",0.89609,10,serg132003
87,11461043,"AGNIVA BHATTACHARYA","2024-01-23 17:00:10",0.89609,12,agnivabhattacharya
88,11462597,shengxin,"2024-01-24 13:06:52",0.89609,4,shengxin
89,11537356,"Muhammad Ahmed niz","2024-01-23 20:15:13",0.89609,2,muhammadahmedniz
90,11462389,mok,"2024-01-27 01:17:42",0.89609,31,motensor
91,11483343,"Joao Ribeiro","2024-01-25 19:32:29",0.89608,24,joaoribeiro5039
92,11565304,"Koji Nakakuki","2024-01-28 06:57:25",0.89607,5,kojinakakuki
93,11468535,"Muhammad ibrahim qasmi","2024-01-24 20:57:03",0.89607,6,muhammadibrahimqasmi
94,11461508,Venta_Black,"2024-01-23 11:33:32",0.89606,18,ventablack
95,11505821,"Lamia Tabassum","2024-01-24 07:38:14",0.89605,10,lamiatabassum
96,11547041,"Adil nawaz ashrafi","2024-01-24 07:54:17",0.89605,4,adilashrafi
97,11477527,ukihappiness,"2024-01-25 10:24:27",0.89605,35,ukihappiness
98,11490084,"Izzan S. A.","2024-01-26 14:34:21",0.89605,8,isamobagaming
99,11461402,"dee dee","2024-01-24 16:50:05",0.89605,12,ddosad
100,11554828,"Liuda Cheldieva","2024-01-24 17:15:51",0.89605,1,liudacheldieva
101,11554888,"Ada Luo Dao","2024-01-24 17:35:56",0.89605,1,adaluodao
102,11554970,"Jeffrey Lihkust","2024-01-24 17:39:21",0.89605,1,jeffreylihkust
103,11468518,Piotr1711,"2024-01-24 17:42:04",0.89605,1,piotrzamisnii
104,11498915,"Aditya Bhaskar","2024-01-24 17:44:11",0.89605,8,adityabhaskar685
105,11555042,"MISAKI MATSUTOMO","2024-01-24 17:52:13",0.89605,1,misakimatsutomo
106,11555018,"Qiuxing Beiye","2024-01-24 18:02:35",0.89605,1,qiuxingbeiye
107,11555136,"Dineo Mofammere","2024-01-24 18:06:56",0.89605,1,dineomofammere
108,11555113,"Emma Wilson Ev","2024-01-24 18:11:40",0.89605,1,emmawilsonev
109,11505298,"Avaya Aggarwal","2024-01-26 01:58:38",0.89605,5,avayaaggarwal27
110,11555161,"Nguyễn Văn Thị Trà","2024-01-24 18:27:08",0.89605,2,nguynvnthtr
111,11555315,"Madris Miller","2024-01-24 19:07:31",0.89605,1,madrismiller
112,11555424,"Frederick Gyllenhaal","2024-01-24 19:11:50",0.89605,1,frederickgyllenhaal
113,11555461,"Lisp Prolog","2024-01-24 19:20:50",0.89605,1,lispprolog
114,11555365,"Zachary Scheben","2024-01-24 19:22:32",0.89605,1,zacharyscheben
115,11555434,"Anisha Senbe","2024-01-24 19:38:29",0.89605,1,anishasenbe
116,11463066,"Mathurin Aché","2024-01-24 22:18:36",0.89605,11,mathurinache
117,11468960,"Jason Gedamke","2024-01-25 02:49:56",0.89605,3,jasongedamke
118,11474615,"Augustine Williams223","2024-01-26 20:52:45",0.89605,6,augustinewilliams223
119,11461973,end_of_night.17j03,"2024-01-25 20:02:04",0.89605,30,endofnight17j03
120,11502522,"Mohammad Essam","2024-01-25 11:40:50",0.89605,3,mohammedessam97
121,11471032,"Semih Günak","2024-01-25 15:08:51",0.89605,5,semihgnak
122,11460752,"Ale uy","2024-01-25 15:32:28",0.89605,7,lasm1984
123,11540653,"HAFIZ MUHAMMAD IMRAN KHAN","2024-01-25 15:56:34",0.89605,1,csmimrankhan
124,11464386,"Javohir Toshqurgonov","2024-01-25 18:07:56",0.89605,14,javohirtoshqorgonov
125,11538085,"Samriddh Lakhmani","2024-01-27 10:46:34",0.89605,27,samlakhmani
126,11498543,JRPC,"2024-01-27 12:01:16",0.89605,11,juanricardop
127,11466251,"Chun-Ting, Lin","2024-01-26 11:30:43",0.89605,2,chuntinglin
128,11563447,"Ruhao ZHAO","2024-01-26 18:06:48",0.89605,1,doft7401ud
129,11490931,"Kate Remie","2024-01-27 00:18:05",0.89605,13,kareremie
130,11486681,"BI is binary informaiton","2024-01-26 20:03:25",0.89605,14,"leevs5,sungmincheong"
131,11465246,Fenga,"2024-01-26 21:19:24",0.89605,14,"mdshaki,rukayyasadiq,yusuf112"
132,11461034,nathankim0917,"2024-01-27 12:47:50",0.89605,4,nathankim0917
133,11508170,Theo,"2024-01-25 04:39:16",0.89604,26,theokp
134,11461306,WonseokJeong,"2024-01-24 02:45:20",0.89603,5,wonsukj
135,11555248,"Brian Williams MA","2024-01-24 18:42:01",0.89603,1,brianwilliamsma
136,11476089,andrekos,"2024-01-26 13:25:49",0.89603,1,andrekos
137,11462174,"Ofir Flaysher","2024-01-23 15:09:26",0.89601,43,ofirflaysher
138,11480463,Kango,"2024-01-28 11:04:31",0.89597,32,datingwang
139,11492888,jamboii,"2024-01-28 05:59:53",0.89595,1,jamboii
140,11551452,aruaru0,"2024-01-27 13:05:12",0.89593,17,aruaru0
141,11502012,"Kuldeep Rathore","2024-01-25 11:31:35",0.89593,8,kuldeeprathoree
142,11519291,snoogy,"2024-01-28 06:41:11",0.89587,37,snoogy
143,11566972,MaksKhan,"2024-01-27 18:46:05",0.89587,1,makskhan
144,11489268,"Lin Jianhang","2024-01-28 05:28:41",0.89586,14,linjianhang
145,11477399,C1trus,"2024-01-25 08:36:42",0.89580,15,c1trus
146,11462001,"Neilansh Chauhan","2024-01-25 17:04:58",0.89576,29,neilanshchauhan
147,11486055,DipDS109,"2024-01-27 12:02:06",0.89565,6,dipds109
148,11462416,"Liam Presland","2024-01-28 10:30:55",0.89565,8,liampresland
149,11480085,"Dev Govindani","2024-01-27 18:54:06",0.89562,6,devgovindani
150,11461589,"Low Siew Peng, Sylvia","2024-01-26 12:50:42",0.89558,40,lowsiewpengsylvia
151,11472655,"Luiz Vicente Dias Junior","2024-01-27 23:09:08",0.89556,85,lvdj94
152,11538729,"Fedor Kobak","2024-01-28 11:01:03",0.89551,6,datascienceimcomming
153,11476586,"Galdir Reges","2024-01-28 01:17:47",0.89549,45,"caiogmello,gabrielreira,galdirreges"
154,11544374,"Nick McVie","2024-01-27 14:39:14",0.89548,10,nickmcvie
155,11461430,"Khemkaran Sevta","2024-01-24 11:59:57",0.89540,41,ksevta
156,11526423,"peng R252","2024-01-26 15:51:51",0.89529,23,pengr252
157,11531637,Mansour,"2024-01-24 04:23:10",0.89525,16,mansour2
158,11469810,itostou,"2024-01-27 15:20:02",0.89523,4,itostou
159,11535433,"Baran Sahin","2024-01-24 16:58:48",0.89520,4,baransahin
160,11544130,"Joel Sathiyendra","2024-01-25 02:02:24",0.89520,14,joelsathiyendra
161,11461478,Puneet,"2024-01-27 15:22:09",0.89519,8,"akshatshaw7,brpuneet898"
162,11462508,"Octavio Grau","2024-01-25 23:39:40",0.89516,7,octaviograu
163,11560118,"Vishnu Sai teja N","2024-01-27 04:07:12",0.89515,6,vishnusaitejan
164,11511284,"Eishkaran Singh","2024-01-28 08:10:21",0.89515,4,eishkaran
165,11462631,"Pedro Couto","2024-01-28 00:30:33",0.89515,69,pedrocouto39
166,11462067,"CatBoost agents","2024-01-27 17:44:51",0.89515,47,"cosheimil,footballmusic,nellisamatova"
167,11481961,fixflow,"2024-01-28 09:21:30",0.89499,14,fixflow
168,11521780,"Yatharth Gautam","2024-01-27 21:40:57",0.89492,3,yatharthgautam123789
169,11567649,"Vyascheslav Roshin","2024-01-28 11:41:08",0.89462,3,vyascheslavroshin
170,11491887,"Brian Ho","2024-01-25 01:46:39",0.89455,33,brianlh9
171,11481742,squirtle_squad,"2024-01-28 09:30:56",0.89445,24,lashfire
172,11461635,Hamachi,"2024-01-23 20:10:17",0.89445,24,hamatz
173,11460751,ITASps,"2024-01-24 02:49:17",0.89434,47,itasps
174,11482562,Deithblaidd,"2024-01-24 13:50:22",0.89434,20,deithblaidd
175,11465085,"Yonatan Kaplan","2024-01-21 19:51:29",0.89411,63,yonatankpl
176,11476074,"Craig Thomas","2024-01-23 21:05:08",0.89409,21,craigmthomas
177,11462696,Chinaski,"2024-01-22 07:57:10",0.89407,32,burakkaya35
178,11533516,"Nikolay Shchipitsin","2024-01-28 11:30:39",0.89405,7,nikolayshchipitsin
179,11471211,"Yury Batrakov","2024-01-08 15:30:23",0.89402,18,cosdar
180,11501145,"Ilia Tetin","2024-01-22 00:15:13",0.89399,41,tetinia
181,11561987,"Qianyi Zhao","2024-01-26 09:07:19",0.89398,1,arthurqzhao
182,11468482,"Srikant Nayak","2024-01-28 07:22:03",0.89395,56,santusrk
183,11515543,"Chun-Hsien Tsai","2024-01-28 11:08:50",0.89394,33,chunhsientsai
184,11462807,test_exit_stage_left,"2024-01-21 13:56:37",0.89392,9,michaelsemenoff
185,11462685,"Lord Patil","2024-01-24 15:21:14",0.89389,26,lordpatil
186,11563001,Grindr,"2024-01-28 07:45:31",0.89384,11,pes1202203872
187,11483135,Nidiyan,"2024-01-28 08:57:37",0.89384,12,idlivada000
188,11462148,"DAYANINDA ALAA!!!","2024-01-23 11:59:03",0.89383,16,alpayabbaszade
189,11464116,Tera,"2024-01-26 22:26:09",0.89380,17,xietaowang
190,11463797,Anzar,"2024-01-28 06:49:58",0.89375,71,anzarwani2
191,11532171,Nikditel,"2024-01-20 17:52:36",0.89370,5,snikhilrao
192,11485472,Bjarkason,"2024-01-22 12:22:08",0.89369,2,bjarkason
193,11466854,"Muhannad Mansour","2024-01-27 19:13:27",0.89367,5,muhannadmansour
194,11468604,DJ_C,"2024-01-19 00:31:44",0.89366,22,dongjun819
195,11546561,brandeno,"2024-01-23 03:42:51",0.89363,5,brandeno
196,11462342,"Ronald Swanson","2024-01-28 11:58:21",0.89361,45,ronfswanson
197,11552647,planetor,"2024-01-27 10:32:50",0.89360,19,planetora
198,11518522,GarrieD,"2024-01-27 20:01:20",0.89360,21,garried
199,11485753,"Jordi Rosell","2024-01-26 20:15:36",0.89360,13,jordirosell
200,11489419,kujitama,"2024-01-24 08:52:33",0.89358,20,tyamujin
201,11460899,"Sumanta Basak","2024-01-23 05:02:10",0.89358,12,drsb24
202,11471258,smurfaja,"2024-01-25 08:46:41",0.89357,12,smurfaja
203,11462929,nana_palladi,"2024-01-26 03:00:49",0.89357,3,nanapalladi
204,11464915,noepinefrin,"2024-01-28 01:18:20",0.89357,23,noepinefrin
205,11466445,"Uzair Shafique","2024-01-28 12:01:01",0.89356,22,uzairshafique
206,11460896,Sakaida_Koudai,"2024-01-11 17:32:02",0.89356,30,ksakaida
207,11470674,"Samuel Rutz","2024-01-27 07:40:37",0.89355,13,samuelrutz
208,11514282,ArnoldRosielle,"2024-01-24 19:34:00",0.89355,7,arosielle
209,11476401,Sayan,"2024-01-24 01:26:50",0.89351,11,saayan
210,11470607,"Ido and Idan","2024-01-27 13:55:31",0.89350,42,"idanhershkovitz,idopas"
211,11475938,EarlyWorms,"2024-01-21 15:13:00",0.89350,8,"dohyeonle9,haeunkchoi,heejuhan"
212,11467219,"Daniel Popov","2024-01-24 12:19:17",0.89350,26,danielpopov
213,11460664,kimich,"2024-01-22 15:41:30",0.89350,55,odunolaakimu
214,11460754,Kuystre,"2024-01-10 20:43:50",0.89349,14,alaeahmad
215,11546936,"Max Verstappen1","2024-01-23 11:23:49",0.89348,5,maxverstappen
216,11461746,H.JIMBEAN,"2024-01-16 06:21:05",0.89347,18,hjimbean
217,11463950,huangjinb,"2024-01-17 01:36:33",0.89347,26,huangjinb
218,11465164,"Junichiro Morita","2024-01-21 12:17:28",0.89347,11,junichiromorita
219,11540209,"Richard Bian","2024-01-21 18:49:10",0.89347,1,bianshengtao
220,11472601,napam689,"2024-01-21 23:38:06",0.89347,6,napam689
221,11463799,"Bruce Wayne","2024-01-27 08:55:08",0.89347,8,daaadaaa
222,11501537,"Quách Minh Tuấn","2024-01-22 10:17:43",0.89347,16,nh0znoisung
223,11501832,HyukJunCho,"2024-01-22 10:28:52",0.89347,4,hyukjuncho
224,11494861,"NGUYEN TUAN THANH","2024-01-22 13:37:54",0.89347,15,nttthanh
225,11498936,dalatar,"2024-01-23 13:22:59",0.89347,10,dalatar
226,11500629,"Hassane Skikri","2024-01-22 23:05:49",0.89347,10,hassaneskikri
227,11526164,kaggler9527,"2024-01-23 02:48:27",0.89347,1,kaggler9527
228,11461720,"Konstantin Dmitriev","2024-01-27 10:38:44",0.89343,47,kdmitrie
229,11465915,"Samyak B","2024-01-28 04:29:11",0.89342,62,samyakb
230,11490431,blaahhrrgg,"2024-01-23 12:45:57",0.89341,8,blaahhrrgg
231,11519583,RafaUribe,"2024-01-23 05:54:34",0.89339,18,rafauribe
232,11532461,"Zhen Cao","2024-01-19 20:28:15",0.89337,1,caozhen86
233,11486461,NKYM,"2024-01-28 08:06:35",0.89332,11,nakayama1
234,11476969,"Zeyad Sayed","2024-01-22 03:21:20",0.89331,7,zeyadsayedadbullah
235,11512236,"UXC lab","2024-01-23 13:31:13",0.89331,9,"eunnhokim,jaehwan98,park9unu"
236,11535691,jayshah1234,"2024-01-27 17:36:36",0.89331,14,"aakashvanmali,jayshah1234"
237,11468381,"Ramón Sieira Martínez","2024-01-20 22:21:18",0.89330,3,rasieira
238,11474072,alpimarc,"2024-01-18 05:34:54",0.89326,13,alpimarc
239,11472700,Katerina,"2024-01-09 09:36:39",0.89325,20,abramova
240,11481485,"Maruyama Koki","2024-01-14 09:11:07",0.89325,25,maruyamakoki
241,11497457,xuanmiao31,"2024-01-11 09:23:30",0.89325,2,xuanmiao31
242,11492855,"Chingiz Nurzhanov","2024-01-13 12:43:56",0.89325,11,chingiznurzhanov
243,11466289,"Devashree Madhugiri","2024-01-18 09:28:10",0.89325,10,devsubhash
244,11463655,"[Deleted] 67769a3e-8971-44f9-84c5-ad42378d1f7f","2024-01-16 03:21:03",0.89324,52,del=f70bebab40dc2cb1
245,11521453,"Atef Bouzid","2024-01-28 00:41:27",0.89324,10,atefbouzid
246,11461406,Kokush1bo,"2024-01-13 20:30:49",0.89324,23,kokush1bo
247,11510476,"Harshit Sharma","2024-01-21 11:24:45",0.89323,6,harshitstark
248,11538024,"Khushi mittal27","2024-01-22 04:12:56",0.89323,1,khushimittal27
249,11557562,"Abhishek Shitole","2024-01-26 08:27:10",0.89323,6,abhishekshitole2901
250,11471662,"Nicolas Carval","2024-01-18 18:39:28",0.89322,12,"nicolascrvl,rodolphenonclercq"
251,11502817,arno,"2024-01-26 14:35:07",0.89321,20,arnogils
252,11471607,"Moishe Levenstein","2024-01-24 00:37:05",0.89321,5,moishelevenstein
253,11462386,"Kenna Geleta","2024-01-24 17:32:27",0.89321,2,kennanemera
254,11527237,BokingChen,"2024-01-18 20:24:57",0.89320,1,chenbaoying
255,11517907,"[Deleted] 6c48a286-534a-4128-beba-71071d431977","2024-01-17 21:56:29",0.89320,1,del=4d06f70ba0f36b25
256,11462731,"Marek Przybyłowicz","2024-01-26 14:03:42",0.89319,30,marekgp
257,11464078,"Sri Harsha Eedala","2024-01-10 21:13:47",0.89319,4,sriharshaeedala
258,11463822,Aditya_Ghai_01,"2024-01-13 11:22:55",0.89318,8,adityaghai01
259,11460611,"William Guesdon","2024-01-10 17:15:38",0.89318,2,wguesdon
260,11463745,AnthonyTherrien,"2024-01-20 19:46:55",0.89318,23,anthonytherrien
261,11496226,"Brian Chaplin","2024-01-12 21:30:40",0.89317,2,bchaplin1
262,11499316,AshSwing,"2024-01-11 23:41:58",0.89317,4,ashswing
263,11503291,ThisMe01,"2024-01-18 01:57:35",0.89317,1,xinge01
264,11467297,SuM,"2024-01-18 00:20:04",0.89316,6,cuboorandell
265,11461069,AmiboBD,"2024-01-21 11:25:37",0.89316,29,amibobd
266,11531603,Tri-Star,"2024-01-26 23:36:01",0.89315,18,"abdmental01,mehakiftikhar,samanfatima7"
267,11492641,misshf,"2024-01-11 08:54:41",0.89315,6,misshf
268,11461473,"Ashish Kumar","2024-01-18 16:40:16",0.89315,32,ashishkumarak
269,11487958,dangnguyen1997,"2024-01-18 06:53:20",0.89314,4,dangnguyen97
270,11487064,piby4,"2024-01-11 18:46:03",0.89312,4,tomtillo
271,11510546,gunter03,"2024-01-19 07:54:01",0.89312,5,gunter03
272,11484067,mmmik,"2024-01-26 04:17:58",0.89311,29,kimtaekyoung
273,11543911,OniChan,"2024-01-26 06:33:28",0.89310,3,parthapratimkalita
274,11460827,"Hiroshi Sakiyama","2024-01-09 14:25:46",0.89310,37,hiroshisakiyama
275,11462786,Chintakalya,"2024-01-18 16:21:44",0.89310,16,ashishkumar111
276,11461772,"Ram Jas","2024-01-11 11:38:11",0.89309,43,ramjasmaurya
277,11505853,"Daedalus Dream Journal","2024-01-22 17:11:20",0.89308,9,daedalusdreamjournal
278,11475845,"Burak Grss","2024-01-11 17:23:33",0.89304,20,burakgrss
279,11504597,"kazuki morikawa","2024-01-20 19:56:17",0.89304,2,kazukimorikawa
280,11461669,"Koichi Hirooka","2024-01-18 06:40:46",0.89303,14,"endokenta,hanakaiwasaki,koichihirooka"
281,11507124,"SHARAN SHETTY49","2024-01-13 20:36:07",0.89303,2,sharanshetty49
282,11489659,"Ayushman Singh","2024-01-16 01:24:31",0.89300,4,ayushman1singh
283,11481177,"Berke Yavuz","2024-01-26 13:19:30",0.89300,19,berkeyavuz
284,11472128,"Maxim Pavlov","2024-01-11 08:34:19",0.89299,7,maximpavlov
285,11462345,"Timur Kebekov","2024-01-22 15:40:55",0.89299,17,timllll
286,11498700,"[Deleted] edf761a5-a288-42b2-ad93-076793462232","2024-01-11 19:14:24",0.89298,1,del=9f23aba6320aebcf
287,11518621,"Annetta Zheng","2024-01-17 02:48:03",0.89296,1,annettazheng
288,11521684,"Deepak Rajwani","2024-01-28 09:12:13",0.89295,4,deepakrajwani
289,11463872,JAN,"2024-01-09 15:10:48",0.89294,23,arlle26
290,11468995,mattcube,"2024-01-20 09:46:35",0.89293,31,mattcube
291,11463113,musashii,"2024-01-12 14:19:00",0.89293,5,musashii634
292,11467154,"GEORGE DOUKAS","2024-01-27 18:48:58",0.89293,18,georgedoukas
293,11497506,"Keep Learning","2024-01-13 02:09:54",0.89292,1,jingliw86
294,11499885,"Tyler Hoyle","2024-01-26 19:01:29",0.89291,5,tylerhoyle
295,11463457,RuiFSPinto,"2024-01-18 23:59:25",0.89291,21,ruifspinto
296,11472335,Sheepli,"2024-01-17 12:28:43",0.89289,5,yyando
297,11464911,nandomartinez,"2024-01-10 13:31:16",0.89289,10,nandomartinez
298,11460619,"Andreas Granhøy-Lieng","2024-01-05 09:08:35",0.89287,9,andreasgranhylieng
299,11491195,eryawww,"2024-01-26 14:28:20",0.89283,9,eryaww
300,11460640,"Bertan Pank","2024-01-20 19:50:36",0.89283,36,bertanpank
301,11480257,"Maicol AB.","2024-01-08 21:26:13",0.89282,9,maicolab
302,11484518,ChagantiRamiReddy1,"2024-01-08 08:26:27",0.89282,2,chagantiramireddy1
303,11462643,nweeks1,"2024-01-06 07:02:34",0.89281,17,nweeks1
304,11482714,wgo,"2024-01-28 11:57:46",0.89281,19,hideyohorimoto
305,11469630,moyamoya,"2024-01-28 06:16:45",0.89281,46,moyamoya
306,11461041,PiGenesis75,"2024-01-13 00:00:30",0.89281,37,pigenesis75
307,11461655,yunsuxiaozi,"2024-01-15 05:15:50",0.89278,17,yunsuxiaozi
308,11478637,JuseTiz,"2024-01-10 13:10:49",0.89278,7,jusetiz
309,11510034,"Jocelyn McConnon","2024-01-15 23:31:14",0.89269,7,jocelynmcconnon
310,11471240,"Sovina Sahni","2024-01-25 20:05:37",0.89268,12,sovinasahni
311,11463551,"Sujal Neupane","2024-01-28 12:03:25",0.89267,41,"amaliogomez,neupane9sujal"
312,11467818,"Smit Raval 24","2024-01-28 11:57:53",0.89260,42,smitraval24
313,11481316,vrinacode,"2024-01-07 10:00:15",0.89260,2,vrinacode
314,11466265,WarwickPower,"2024-01-11 01:50:19",0.89259,10,jipinglyu
315,11467759,brightmind19,"2024-01-14 22:46:55",0.89259,28,brightmind19
316,11470715,"Arman Zhalgasbayev","2024-01-20 19:34:03",0.89259,7,armanzhalgasbayev
317,11463435,"Iqman Singh Bhatia","2024-01-23 18:14:45",0.89256,24,iqmansingh
318,11472001,"rıza temizel","2024-01-20 22:55:55",0.89254,19,rzatemizel
319,11489920,"Nadav Idelsohn","2024-01-22 22:47:28",0.89246,8,halaluka
320,11460757,Fabbasso,"2024-01-28 01:57:04",0.89246,32,fabrizio78
321,11508410,fugai1,"2024-01-14 17:47:42",0.89246,1,fugai1
